iter	RMSE
0	21.11609502
1	21.05114748
2	20.99838423
3	20.93339245
4	20.87727614
5	20.81297618
6	20.77656631
7	20.76064763
8	20.7374658
9	20.6856037
10	20.64405907
11	20.59490956
12	20.55956973
13	20.50368777
14	20.47843202
15	20.44059852
16	20.41172096
17	20.38816034
18	20.3657209
19	20.34522893
20	20.31498426
21	20.26958556
22	20.23295178
23	20.20847039
24	20.18435777
25	20.16781572
26	20.14073597
27	20.11928974
28	20.09129079
29	20.06418292
30	20.00947899
31	19.97802432
32	19.95780388
33	19.91175305
34	19.88384019
35	19.86504304
36	19.81176845
37	19.79931719
38	19.77920109
39	19.76459535
40	19.75380456
41	19.73538408
42	19.73041989
43	19.71985349
44	19.68065978
45	19.66282596
46	19.6408468
47	19.62562948
48	19.58911571
49	19.56374697
50	19.54231667
51	19.50866165
52	19.48596668
53	19.47220608
54	19.4646806
55	19.4473797
56	19.42230611
57	19.39754138
58	19.38916927
59	19.38032803
60	19.35773328
61	19.31747637
62	19.3013561
63	19.28439936
64	19.2626842
65	19.23756219
66	19.23172925
67	19.21232941
68	19.16417679
69	19.15169182
70	19.14090006
71	19.10671384
72	19.08039376
73	19.06639987
74	19.05010062
75	19.02650194
76	19.00575132
77	18.9925032
78	18.9623513
79	18.95136172
80	18.92543063
81	18.91253919
82	18.9125185
83	18.89612248
84	18.87093402
85	18.83919616
86	18.81320469
87	18.7936558
88	18.76330754
89	18.75625965
90	18.72994462
91	18.71284004
92	18.68908952
93	18.67783426
94	18.66227243
95	18.63688577
96	18.6022555
97	18.58683061
98	18.55397746
99	18.53456323
100	18.4933999
101	18.47522092
102	18.45251649
103	18.40809302
104	18.36422105
105	18.32833021
106	18.3132169
107	18.27779964
108	18.2566431
109	18.23218182
110	18.21756807
111	18.19992301
112	18.17558519
113	18.15871749
114	18.13856952
115	18.11506103
116	18.10598541
117	18.0982208
118	18.0806316
119	18.05077081
120	18.02797898
121	18.00687976
122	17.98113248
123	17.96361784
124	17.950292
125	17.92877159
126	17.90284391
127	17.87892661
128	17.86219761
129	17.82289881
130	17.79762717
131	17.77222636
132	17.73861016
133	17.6993523
134	17.67670819
135	17.64359901
136	17.62518871
137	17.606688
138	17.58899961
139	17.57393832
140	17.55459182
141	17.51532884
142	17.50014189
143	17.49208942
144	17.46885244
145	17.44847893
146	17.44552556
147	17.43492333
148	17.4075012
149	17.39150118
150	17.38815558
151	17.34427088
152	17.33184256
153	17.32415934
154	17.30712218
155	17.29530381
156	17.28289678
157	17.26016348
158	17.25407915
159	17.22686546
160	17.19798197
161	17.14588247
162	17.14312132
163	17.12254615
164	17.11061733
165	17.08459142
166	17.07339032
167	17.05585565
168	17.053421
169	17.03305369
170	17.01968703
171	17.00204374
172	16.9907748
173	16.97681192
174	16.96418331
175	16.94707838
176	16.91972061
177	16.90634058
178	16.89574879
179	16.87786527
180	16.85367476
181	16.82516203
182	16.78692113
183	16.76739431
184	16.75850705
185	16.73350717
186	16.70474593
187	16.69461143
188	16.67435699
189	16.64789125
190	16.63857911
191	16.61907403
192	16.61370208
193	16.60090041
194	16.59486627
195	16.5770833
196	16.53675224
197	16.5051132
198	16.48902156
199	16.47762722
200	16.47062456
201	16.43862473
202	16.42020907
203	16.39607325
204	16.38843092
205	16.37281584
206	16.35971744
207	16.34447703
208	16.30760844
209	16.29539481
210	16.27723265
211	16.2758085
212	16.26165774
213	16.24954546
214	16.23892575
215	16.21581211
216	16.21103495
217	16.19496193
218	16.1727051
219	16.15176244
220	16.14239237
221	16.13653169
222	16.12552119
223	16.12157925
224	16.09582993
225	16.08155484
226	16.07239294
227	16.05457948
228	16.0428824
229	16.03084424
230	16.01009903
231	15.99225537
232	15.97947502
233	15.96932559
234	15.95972938
235	15.95126207
236	15.93836693
237	15.91946991
238	15.9001351
239	15.86844532
240	15.85747954
241	15.84949089
242	15.82453211
243	15.80556461
244	15.79201216
245	15.77872558
246	15.75368922
247	15.73719083
248	15.73158068
249	15.71975147
250	15.71180633
251	15.68256835
252	15.67261843
253	15.65466983
254	15.65276335
255	15.64002076
256	15.62912856
257	15.61328539
258	15.59246081
259	15.56219756
260	15.54252148
261	15.52917383
262	15.50762066
263	15.47930295
264	15.46575596
265	15.44474253
266	15.43141982
267	15.42522221
268	15.39410732
269	15.38752577
270	15.36715548
271	15.35254305
272	15.34613645
273	15.33562859
274	15.33339939
275	15.32005953
276	15.31568829
277	15.30067205
278	15.28768786
279	15.27454573
280	15.25923887
281	15.24441408
282	15.22550895
283	15.21063812
284	15.19741188
285	15.17520177
286	15.14747578
287	15.13596486
288	15.12244335
289	15.11682568
290	15.09108834
291	15.08014731
292	15.06748827
293	15.06509113
294	15.06248128
295	15.05528788
296	15.04545075
297	15.04442975
298	15.03725251
299	15.01459657
300	14.993966
301	14.99136993
302	14.9863072
303	14.95481532
304	14.93325501
305	14.93184078
306	14.91294014
307	14.90703177
308	14.88381834
309	14.87976154
310	14.86794591
311	14.85079711
312	14.84015538
313	14.82570425
314	14.80200475
315	14.77225468
316	14.75226227
317	14.73581262
318	14.72396964
319	14.71951334
320	14.70795991
321	14.70082527
322	14.68602495
323	14.65615753
324	14.61705576
325	14.60546121
326	14.59283259
327	14.58500146
328	14.58095005
329	14.56272687
330	14.5439781
331	14.54093694
332	14.5330436
333	14.52879326
334	14.51236735
335	14.49465873
336	14.46766536
337	14.46116246
338	14.45989671
339	14.44218922
340	14.42654329
341	14.41585424
342	14.38632437
343	14.38483207
344	14.36725815
345	14.35641342
346	14.34026511
347	14.32788109
348	14.31692362
349	14.31291764
350	14.2933734
351	14.26456522
352	14.24269646
353	14.23123581
354	14.20875282
355	14.17027631
356	14.14884429
357	14.11369657
358	14.11229804
359	14.10868283
360	14.08679074
361	14.06376251
362	14.04477494
363	14.02260649
364	14.00797509
365	13.99321228
366	13.98593856
367	13.97484576
368	13.96022171
369	13.95581518
370	13.93210104
371	13.90848585
372	13.89560441
373	13.88201235
374	13.87794164
375	13.86422158
376	13.84123196
377	13.8300329
378	13.82558853
379	13.80485442
380	13.7997045
381	13.79386643
382	13.78737252
383	13.78035216
384	13.77940844
385	13.76129691
386	13.75477571
387	13.727913
388	13.71202126
389	13.69873485
390	13.68382167
391	13.67245874
392	13.65438561
393	13.64847245
394	13.64802752
395	13.64011098
396	13.6253647
397	13.60675058
398	13.58954837
399	13.58508473
400	13.57728525
401	13.56383701
402	13.55194498
403	13.53851996
404	13.52585013
405	13.51614222
406	13.51224615
407	13.50245416
408	13.48922272
409	13.48095636
410	13.46646405
411	13.45946051
412	13.45706852
413	13.44928121
414	13.43893161
415	13.43510458
416	13.42025786
417	13.4116945
418	13.40011389
419	13.3936156
420	13.3926755
421	13.3745722
422	13.36220115
423	13.36014635
424	13.3422437
425	13.33199078
426	13.33031578
427	13.32126421
428	13.31893316
429	13.30442585
430	13.28656965
431	13.27827955
432	13.26927923
433	13.2494387
434	13.24821609
435	13.23161356
436	13.22712963
437	13.22479077
438	13.21320463
439	13.20722675
440	13.1914631
441	13.18545714
442	13.17101275
443	13.15978252
444	13.14444373
445	13.13304265
446	13.12695077
447	13.11960248
448	13.11773773
449	13.08185193
450	13.07843288
451	13.06296347
452	13.05635367
453	13.04060455
454	13.02321717
455	13.02203499
456	13.00840496
457	12.99269816
458	12.99117848
459	12.97387646
460	12.97007315
461	12.96283824
462	12.9552852
463	12.92452219
464	12.91307355
465	12.9085028
466	12.90515921
467	12.891714
468	12.87398684
469	12.8697076
470	12.86277789
471	12.85556443
472	12.84146418
473	12.83637205
474	12.83518235
475	12.83089812
476	12.82476902
477	12.81784347
478	12.80990954
479	12.80180168
480	12.79506398
481	12.77762608
482	12.77700027
483	12.75075377
484	12.74193484
485	12.74144166
486	12.73689344
487	12.71404196
488	12.71371952
489	12.70087282
490	12.68864764
491	12.67128363
492	12.66220643
493	12.64906294
494	12.63980542
495	12.63647517
496	12.63267215
497	12.6181948
498	12.61415296
499	12.60622686
